,season,round,race_name,driver_id,driver_name,grid,position,points
142,2026,7,Barcelona Grand Prix,bortoleto,Gabriel Bortoleto,12,11,0
143,2026,7,Barcelona Grand Prix,sainz,Carlos Sainz,16,12,0
144,2026,7,Barcelona Grand Prix,ocon,Esteban Ocon,17,13,0
145,2026,7,Barcelona Grand Prix,perez,Sergio Pérez,19,14,0
146,2026,7,Barcelona Grand Prix,leclerc,Charles Leclerc,10,15,0
147,2026,7,Barcelona Grand Prix,antonelli,Andrea Kimi Antonelli,3,16,0
148,2026,7,Barcelona Grand Prix,bearman,Oliver Bearman,15,17,0
149,2026,7,Barcelona Grand Prix,albon,Alexander Albon,18,18,0
150,2026,7,Barcelona Grand Prix,alonso,Fernando Alonso,22,19,0
151,2026,7,Barcelona Grand Prix,hulkenberg,Nico Hülkenberg,9,20,0
152,2026,7,Barcelona Grand Prix,bottas,Valtteri Bottas,20,21,0
153,2026,7,Barcelona Grand Prix,stroll,Lance Stroll,21,22,0
154,2026,8,Austrian Grand Prix,russell,George Russell,1,1,25
155,2026,8,Austrian Grand Prix,max_verstappen,Max Verstappen,5,2,18
156,2026,8,Austrian Grand Prix,antonelli,Andrea Kimi Antonelli,4,3,15
157,2026,8,Austrian Grand Prix,piastri,Oscar Piastri,7,4,12
158,2026,8,Austrian Grand Prix,hamilton,Lewis Hamilton,3,5,10
159,2026,8,Austrian Grand Prix,hadjar,Isack Hadjar,8,6,8
160,2026,8,Austrian Grand Prix,norris,Lando Norris,6,7,6
161,2026,8,Austrian Grand Prix,leclerc,Charles Leclerc,2,8,4
162,2026,8,Austrian Grand Prix,lawson,Liam Lawson,9,9,2
163,2026,8,Austrian Grand Prix,arvid_lindblad,Arvid Lindblad,10,10,1
164,2026,8,Austrian Grand Prix,bortoleto,Gabriel Bortoleto,12,11,0
165,2026,8,Austrian Grand Prix,hulkenberg,Nico Hülkenberg,14,12,0
166,2026,8,Austrian Grand Prix,gasly,Pierre Gasly,11,13,0
167,2026,8,Austrian Grand Prix,bearman,Oliver Bearman,13,14,0
168,2026,8,Austrian Grand Prix,colapinto,Franco Colapinto,16,15,0
169,2026,8,Austrian Grand Prix,ocon,Esteban Ocon,15,16,0
170,2026,8,Austrian Grand Prix,albon,Alexander Albon,18,17,0
171,2026,8,Austrian Grand Prix,alonso,Fernando Alonso,21,18,0
172,2026,8,Austrian Grand Prix,stroll,Lance Stroll,22,19,0
173,2026,8,Austrian Grand Prix,sainz,Carlos Sainz,17,20,0
174,2026,8,Austrian Grand Prix,perez,Sergio Pérez,19,21,0
175,2026,8,Austrian Grand Prix,bottas,Valtteri Bottas,20,22,0
176,2026,9,British Grand Prix,leclerc,Charles Leclerc,2,1,25
177,2026,9,British Grand Prix,russell,George Russell,4,2,18
178,2026,9,British Grand Prix,hamilton,Lewis Hamilton,3,3,15
179,2026,9,British Grand Prix,norris,Lando Norris,6,4,12
180,2026,9,British Grand Prix,hadjar,Isack Hadjar,5,5,10
181,2026,9,British Grand Prix,lawson,Liam Lawson,10,6,8
